ACCOUNT_ID,GROSS_TRANSACTION_AMOUNT,MERCHANT_CATEGORY_LEVEL_1,CARD_TYPE,CARD_HOLDER_CITY,CARD_HOLDER_STATE,CARD_HOLDER_GENERATION,CARD_PRESENT_INDICATOR,SHOPPER_CLASSIFICATION
A8028579,16.57,Restaurants and Food Services,Debit,WARRENVILLE,SC,Gen Z,Card Present,0
A2882666,5.64,Restaurants and Food Services,Debit,ELIZABETH,NJ,Gen Z,Card Not Present,0
A5262978,18.37,Restaurants and Food Services,Debit,PRATTVILLE,AL,Gen Z,Card Present,0
A3983798,5.07,Restaurants and Food Services,Debit,NEDERLAND,TX,Gen Z,Unknown,0
A6057516,1.62,Restaurants and Food Services,Debit,WEST SALEM,WI,Unknown,Card Present,2
A6871661,23.91,Restaurants and Food Services,Credit,MANTECA,CA,Millennial,Card Present,0
A2325253,24.58,Restaurants and Food Services,Debit,CLEVELAND,OH,Unknown,Card Present,0
A1385672,13.14,Restaurants and Food Services,Debit,HAMILTON,OH,Millennial,Card Present,0
A7240209,25.34,Restaurants and Food Services,Debit,CORDOVA,TN,Baby Boomer,Card Not Present,0
A2429192,18.95,Restaurants and Food Services,Debit,MINNEAPOLIS,MN,Millennial,Card Present,1
A2661051,53.15,Restaurants and Food Services,Credit,COLUMBUS,MS,Baby Boomer,Card Present,0
A2428493,7.76,Restaurants and Food Services,Debit,BAINBRIDGE,NY,Millennial,Card Present,0
A9895356,10.37,Restaurants and Food Services,Debit,MEMPHIS,TN,Gen X,Card Present,0
A3623426,16.99,Restaurants and Food Services,Debit,AUBURN,AL,Millennial,Card Present,0
A1886735,1.59,Restaurants and Food Services,Debit,RICHMOND,VA,Unknown,Unknown,1
A3079715,14.57,Restaurants and Food Services,Debit,DOUBLE SPRINGS,AL,Millennial,Card Not Present,0
A5105040,8.58,Restaurants and Food Services,Debit,BUENA VISTA,VA,Unknown,Card Present,0
A7297657,9.37,Restaurants and Food Services,Debit,COLUMBUS,OH,Millennial,Card Present,0
A5350253,7.31,Restaurants and Food Services,Debit,SAULT SAINTE MARIE,MI,Millennial,Card Present,2
A1722323,35.49,Restaurants and Food Services,Debit,FLINT,MI,Gen Z,Unknown,0
A8543069,2.78,Restaurants and Food Services,Credit,ARLINGTON,VA,Gen X,Card Present,0
A6658438,27.64,Restaurants and Food Services,Debit,SANFORD,FL,Millennial,Unknown,0
A9658919,5.48,Restaurants and Food Services,Debit,COMSTOCK PARK,MI,Millennial,Card Not Present,0
A4823734,14.4,Restaurants and Food Services,Credit,APO,AP,Millennial,Card Present,2
A2093977,20.57,Restaurants and Food Services,Debit,LACOMBE,LA,Gen X,Card Not Present,0
A7861737,10.03,Restaurants and Food Services,Debit,HOUMA,LA,Gen Z,Card Not Present,0
A8804123,26.16,Retail,Debit,MAX MEADOWS,VA,Unknown,Unknown,0
A7603330,20.53,Restaurants and Food Services,Debit,GAINESVILLE,FL,Gen Z,Unknown,0
A7863013,31.42,Restaurants and Food Services,Debit,MOBILE,AL,Unknown,Card Present,2
A8527945,5.93,Restaurants and Food Services,Credit,MILPITAS,CA,Gen X,Card Present,0
A7988537,20.28,Restaurants and Food Services,Debit,NORTH KINGSTOWN,RI,Gen Z,Card Not Present,2
A2438413,15.88,Restaurants and Food Services,Debit,FAIRVIEW,UT,Gen X,Card Present,0
A5509234,3.38,Restaurants and Food Services,Debit,BEMIDJI,MN,Gen X,Card Present,0
A5330842,21.86,Restaurants and Food Services,Debit,SYRACUSE,UT,Millennial,Card Present,2
A8586850,11.29,Restaurants and Food Services,Debit,NEW YORK,NY,Gen X,Card Present,0
A6976354,35.42,Restaurants and Food Services,Debit,QUINCY,MA,Gen Z,Card Not Present,2
A2438413,6.63,Restaurants and Food Services,Debit,OHATCHEE,AL,Millennial,Card Not Present,2
A5174556,9.97,Restaurants and Food Services,Debit,FORNEY,TX,Millennial,Unknown,0
A6527655,10.68,Restaurants and Food Services,Debit,HILLBURN,NY,Baby Boomer,Card Present,0
A6289813,5.45,Restaurants and Food Services,Credit,OMAHA,NE,Gen X,Card Not Present,0
A1256426,10.53,Restaurants and Food Services,Credit,EL PASO,TX,Baby Boomer,Card Present,2
A1739118,11.68,Restaurants and Food Services,Debit,ALAMOGORDO,NM,Baby Boomer,Card Present,0
A5864740,15.25,Restaurants and Food Services,Debit,DELTONA,FL,Millennial,Card Present,0
A7055250,7.97,Restaurants and Food Services,Debit,EAU CLAIRE,WI,Millennial,Card Present,0
A5151825,25.5,Restaurants and Food Services,Debit,SAN DIEGO,CA,Gen X,Card Present,0
A6712963,3.48,Restaurants and Food Services,Debit,JOLIET,IL,Millennial,Card Present,0
A9968268,4.23,Restaurants and Food Services,Debit,LINTON,IN,Baby Boomer,Card Present,2
A1064596,3.87,Restaurants and Food Services,Debit,CLINTON TOWNSHIP,MI,Millennial,Card Present,0
A1255242,31.15,Restaurants and Food Services,Debit,FORT GRATIOT,MI,Unknown,Card Present,0
A1714160,5.11,Restaurants and Food Services,Debit,HOWELL,MI,Millennial,Card Not Present,0
A1258056,4.76,Restaurants and Food Services,Debit,KALAMAZOO,MI,Unknown,Card Present,0
A9956072,10.15,Restaurants and Food Services,Debit,NEWPORT,KY,Millennial,Card Present,0
A1850714,5.08,Restaurants and Food Services,Debit,WILLIAMSTON,SC,Millennial,Card Present,2
A9911995,6.21,Restaurants and Food Services,Debit,CROWLEY,TX,Gen Z,Card Present,0
A6765864,35.18,Restaurants and Food Services,Debit,INDEPENDENCE,MO,Gen Z,Card Present,0
A6769425,19.82,Restaurants and Food Services,Debit,JACKSONVILLE,FL,Millennial,Unknown,0
