customer_id,age,annual_income,spending_score,visit_freq,avg_cart,membership_years
1,43,11089,29,3,146700,7.2
2,57,5047,18,2,69100,12.0
3,39,10778,86,21,451700,9.1
4,30,8579,79,18,619800,8.5
5,35,10407,91,20,184700,11.8
6,63,5586,22,1,83300,6.1
7,52,10770,40,2,144600,3.5
8,26,2755,67,18,40500,1.3
9,39,10114,76,18,154600,5.7
10,38,9982,20,2,171100,2.5
11,38,9653,82,18,411000,9.2
12,41,8077,74,14,453800,4.5
13,52,4426,24,2,79500,8.9
14,43,9529,71,16,208900,6.6
15,28,2599,79,24,42400,0.8
16,51,4880,28,2,42400,1.7
17,37,12221,35,1,74100,8.9
18,29,8440,84,16,173800,5.2
19,42,12799,44,3,163800,3.0
20,52,8146,77,18,463700,4.4
21,25,3020,90,22,48400,0.6
22,58,4458,24,2,70700,6.1
23,70,4070,26,1,40000,0.8
24,55,13762,33,4,117400,8.8
25,36,10751,35,2,200700,9.7
26,36,3830,71,28,46100,3.9
27,67,4908,35,2,66900,6.4
28,24,2941,83,18,39500,1.1
29,47,13378,47,5,169100,9.1
30,29,3126,93,22,18800,2.7
31,45,4035,15,1,67600,0.8
32,50,14021,43,2,229600,7.2
33,62,3693,17,2,66100,9.5
34,51,11543,29,2,168100,3.0
35,35,12156,26,5,222400,5.9
36,52,13828,39,3,199600,1.9
37,49,11665,24,3,185000,7.7
38,26,4002,91,34,48000,0.9
39,50,13449,26,2,148800,4.3
40,63,5263,29,1,67900,8.6
41,28,2654,84,20,52300,2.4
42,31,3407,78,26,40800,0.9
43,36,7821,85,24,237800,5.2
44,28,9634,69,24,164900,7.1
45,37,9197,79,16,200000,11.5
46,70,5860,22,1,81500,10.0
47,46,9419,45,4,146500,2.2
48,53,3989,37,2,69300,8.7
49,63,4647,10,4,42500,12.0
50,53,5640,29,2,98100,8.4
51,59,4794,32,2,88600,7.4
52,37,10461,76,18,425000,8.6
53,52,13080,35,2,113000,5.8
54,25,2579,69,19,52600,1.7
55,40,12396,31,3,150000,5.6
56,39,10112,13,4,142300,3.0
57,40,11068,42,4,285800,8.3
58,51,11441,33,1,191800,2.4
59,63,6865,21,3,29300,4.7
60,42,9836,86,16,191000,10.4
61,27,2083,70,23,53200,2.4
62,23,2303,69,16,38500,0.5
63,39,8804,72,26,146400,3.4
64,36,9978,77,19,217900,7.5
65,52,8940,89,22,487100,9.8
66,38,12505,34,5,164200,5.3
67,44,10230,85,21,245600,10.0
68,47,13252,41,4,180300,6.3
69,53,9584,35,6,148700,9.5
70,38,9958,98,17,358600,7.1
71,55,4051,32,2,55800,8.4
72,63,7858,23,1,44800,2.7
73,57,5568,22,2,36200,10.8
74,63,4661,21,4,57400,2.4
75,42,11158,85,19,550000,4.0
76,38,10176,81,24,217300,5.8
77,42,8773,79,26,363600,5.5
78,45,8856,80,23,147800,4.2
79,41,10437,78,21,426600,2.6
80,46,11546,56,2,278800,6.3
81,30,3419,81,23,25200,0.3
82,53,11869,26,5,177300,3.2
83,26,3361,62,22,22700,3.7
84,33,3569,98,20,39500,2.8
85,38,7386,87,15,262400,9.4
86,46,9241,87,18,74800,11.7
87,41,11343,46,3,125700,5.8
88,30,3529,83,21,50100,0.9
89,28,4730,86,16,33800,0.6
90,20,2647,73,21,41500,0.4
91,30,2955,65,19,51500,0.3
92,36,11652,38,4,141600,4.4
93,25,3860,86,14,62800,1.1
94,55,5477,36,1,91800,1.8
95,63,6754,36,3,62900,10.3
96,48,14833,38,4,197900,6.2
97,35,9751,73,13,621800,11.5
98,46,10573,85,19,515800,7.3
99,36,10543,21,3,146600,6.1
100,27,3469,77,27,24500,0.8
101,70,4537,23,3,103700,9.0
102,30,2576,86,23,69100,2.7
103,50,11651,34,1,62300,8.5
104,28,2808,66,23,38700,3.6
105,54,12685,26,2,120600,8.1
106,52,4454,17,2,38400,1.0
107,65,4368,23,2,55700,8.4
108,48,12888,100,18,365300,7.3
109,52,13555,32,5,168300,2.8
110,34,10366,93,16,177000,6.3
111,44,12292,37,2,127600,4.3
112,27,3278,75,18,62200,0.2
113,43,8720,88,15,499000,3.6
114,63,5505,47,4,63800,0.8
115,24,3602,88,25,47400,2.6
116,45,10148,27,2,276200,9.7
117,35,13187,34,3,106500,4.2
118,44,9536,77,11,193300,8.9
119,70,5448,24,2,53900,5.3
120,34,9207,80,13,181400,4.5
121,47,10966,93,22,217500,4.9
122,37,10295,79,15,249400,4.4
123,70,5548,26,4,30300,4.8
124,29,9696,75,17,190800,10.7
125,46,8290,23,6,195200,1.3
126,35,11412,83,25,572000,11.3
127,46,11001,89,21,134700,8.9
128,32,8706,78,22,139200,8.9
129,64,6018,28,3,93900,11.2
130,36,11630,21,2,208500,3.0
131,33,10713,85,19,192900,9.4
132,45,12201,28,3,175100,6.8
133,47,13081,34,1,104600,7.4
134,27,3098,97,23,46300,1.8
135,30,9892,34,2,121400,7.8
136,32,8396,74,17,196200,3.4
137,65,5041,29,2,88300,3.3
138,21,2849,81,20,44800,0.4
139,55,5727,20,3,63500,7.9
140,27,2945,80,22,59000,3.3
141,53,11701,36,4,99100,1.5
142,28,3164,68,26,49300,1.5
143,57,5089,39,2,54300,2.1
144,40,10130,82,25,538500,5.4
145,27,2900,73,14,50600,2.7
146,30,10550,80,25,330700,9.1
147,46,9386,88,11,143100,10.6
148,56,5791,29,5,56600,7.5
149,42,9354,80,16,219800,9.0
150,56,6475,24,2,41500,10.0
151,21,3913,65,21,35000,2.4
152,21,2554,84,30,45200,3.7
153,50,5673,22,2,54500,2.0
154,37,12586,69,14,197500,3.5
155,28,3053,88,28,35600,3.1
156,43,10421,85,12,474500,7.1
157,37,9451,76,27,266400,10.0
158,70,7222,31,2,51400,1.8
159,44,12716,43,1,170000,3.7
160,48,10441,97,20,450600,5.6
161,39,9190,77,16,214200,5.7
162,46,7657,83,19,581000,11.2
163,47,9457,76,23,193300,5.9
164,52,15000,31,3,193200,7.5
165,30,3306,79,31,43800,2.5
166,64,4905,27,3,49200,8.1
167,24,3575,74,16,35300,1.2
168,34,2000,77,23,44500,2.3
169,36,7753,94,8,143500,8.5
170,42,11432,42,4,253900,4.0
171,41,12255,24,3,133200,5.7
172,43,9820,92,14,440400,3.4
173,28,2622,60,21,48000,2.6
174,45,5472,24,2,84400,3.5
175,24,2752,69,25,52800,2.8
176,47,11726,30,4,238100,8.1
177,48,12399,46,1,169600,4.9
178,55,15000,42,3,194800,3.8
179,57,13640,44,0,146200,8.8
180,31,9997,70,13,129600,4.5
181,49,12683,23,1,216200,1.8
182,67,3619,30,1,44800,11.0
183,39,12143,32,1,85500,7.5
184,70,4571,37,2,71500,10.5
185,38,9405,61,15,216200,5.6
186,58,5603,32,2,78600,0.5
187,44,10334,78,20,509500,8.0
188,54,8941,90,18,550100,2.1
189,23,3074,81,26,46500,1.3
190,45,12878,40,2,133200,8.1
191,21,3112,81,17,43100,3.7
192,31,8066,73,20,242000,8.4
193,47,12612,81,16,157100,11.5
194,40,8148,96,24,593300,7.4
195,26,3236,69,24,57600,3.4
196,30,2946,79,26,52200,1.1
197,34,3192,74,19,50000,1.5
198,26,3221,85,28,56800,2.5
199,48,11774,31,4,211800,7.6
200,35,10249,26,2,195800,10.0
201,45,9328,25,0,225200,2.2
202,38,11989,79,22,195100,2.3
203,54,5618,27,3,85200,9.4
204,33,10542,80,15,144000,5.5
205,63,5293,20,1,70200,4.7
206,43,13133,42,2,279700,4.1
207,42,11202,83,14,439800,11.7
208,70,4624,32,2,47300,0.3
209,44,10778,78,22,164600,4.1
210,48,15000,29,3,146600,1.7
211,64,4873,19,3,124000,8.3
212,59,5423,28,3,47800,7.2
213,33,3352,85,21,43600,3.1
214,47,13880,30,2,145100,5.9
215,45,10711,38,3,207900,6.3
216,21,4063,81,18,54500,3.2
217,49,12225,34,5,104600,8.0
218,35,3570,69,22,46700,2.8
219,65,5923,18,1,69300,12.0
220,34,10543,35,3,244800,6.7
221,33,9058,79,13,591600,7.0
222,38,9465,74,17,413500,6.4
223,50,9613,91,17,488400,3.0
224,26,3515,67,21,35200,1.0
225,60,3385,18,4,69800,5.8
226,24,2581,100,23,46300,3.3
227,42,12985,28,3,152500,2.4
228,32,8126,78,15,174200,8.0
229,27,3581,61,24,60100,1.5
230,37,11236,83,25,478800,4.4
231,44,10834,72,21,595800,2.7
232,33,12176,92,17,143500,4.2
233,55,4536,12,0,33200,7.4
234,43,13251,15,4,243700,2.2
235,23,2084,74,18,39800,2.2
236,29,10689,80,16,180500,11.0
237,48,11929,25,2,194900,2.0
238,43,10555,83,18,269500,3.8
239,46,9752,86,20,188200,3.9
240,38,9488,84,17,225500,9.5
241,35,9896,83,19,340700,4.6
242,42,11920,36,2,212700,9.0
243,29,3222,72,22,61900,0.4
244,56,5460,27,2,77800,0.6
245,27,3355,70,25,37400,0.3
246,26,3346,83,26,36600,0.6
247,24,9948,81,16,145800,11.8
248,48,12460,29,4,184900,4.8
249,46,4130,29,4,66700,10.3
250,56,6285,34,2,33000,0.5
251,29,3065,85,19,39700,3.9
252,30,2906,85,19,63900,3.2
253,39,8826,75,22,335300,6.7
254,66,5499,21,2,53900,2.2
255,48,10548,84,18,366900,2.8
256,34,11283,81,19,209000,8.5
257,41,11283,90,25,196700,5.0
258,49,3908,39,2,64500,3.9
259,46,11469,38,3,219400,1.4
260,27,2000,91,19,58300,2.1
261,39,9226,81,23,484900,7.6
262,47,5607,23,4,76400,3.8
263,20,2000,87,24,43900,2.2
264,58,4751,29,2,50700,11.4
265,45,5772,26,2,55100,9.5
266,34,9951,76,14,210800,2.9
267,43,12202,34,2,254100,7.0
268,38,7664,93,21,511700,8.3
269,35,10811,83,13,178600,10.2
270,37,8283,73,10,176200,4.0
271,28,2000,78,25,54200,3.4
272,26,9879,80,15,151700,3.2
273,49,12403,26,2,233600,8.4
274,37,9819,88,19,179000,4.5
275,46,10073,86,13,130200,2.4
276,49,11188,35,1,138600,5.5
277,29,2832,77,25,52200,2.8
278,53,3487,19,1,48800,7.4
279,26,3169,78,14,62800,2.8
280,37,8814,92,13,165400,10.5
281,25,3433,90,24,34200,2.4
282,43,8460,73,18,380800,8.4
283,45,10931,26,3,234800,2.9
284,56,5021,22,1,56500,9.7
285,45,10366,93,18,534000,10.9
286,32,9737,78,18,220200,9.4
287,53,5246,32,4,42400,9.0
288,30,4062,74,26,20600,2.0
289,42,8297,72,12,146500,10.3
290,29,8320,79,15,207100,5.0
291,32,9858,82,10,423800,8.3
292,26,3965,72,12,60600,3.4
293,56,5090,22,2,42000,2.5
294,37,10951,34,4,144800,2.3
295,49,5846,19,2,64000,10.4
296,23,3483,78,27,24100,1.3
297,43,13947,32,5,146900,3.3
298,35,12404,60,3,260300,7.2
299,36,9592,80,19,309600,4.8
300,26,3487,78,23,47600,3.7
301,25,2857,90,21,44600,1.0
302,70,4854,31,3,102600,0.7
303,62,4268,18,4,61700,4.7
304,59,7315,28,3,75900,11.3
305,43,10469,26,1,131200,6.6
306,45,7872,87,20,560400,7.9
307,37,9308,75,20,436600,8.3
308,54,11417,32,2,120000,1.2
309,70,5808,18,1,53600,6.2
310,43,9594,85,17,188000,8.9
311,50,5454,17,2,41400,0.2
312,26,2538,70,20,66300,3.0
313,35,3510,83,16,45200,0.1
314,49,4474,34,1,29300,4.5
315,39,10137,86,15,631500,5.4
316,27,3341,76,27,32100,0.9
317,40,11389,38,3,215500,2.1
318,47,10233,32,3,181500,9.5
319,30,2635,76,21,52600,2.5
320,53,10594,23,5,237800,8.4
321,39,8313,92,21,479100,3.6
322,26,2660,79,22,48900,1.0
323,28,3078,88,28,36700,2.7
324,52,4159,20,3,75300,5.3
325,60,4923,19,3,35200,10.7
326,70,5575,20,0,61200,0.2
327,21,3430,67,19,55900,1.8
328,57,3749,23,1,29300,7.6
329,26,4018,75,22,39400,1.8
330,54,12282,21,3,236600,5.1
331,30,4398,84,27,36700,0.7
332,61,5596,33,4,41000,9.5
333,46,11673,81,18,606800,6.9
334,46,15000,39,2,138800,4.2
335,39,10003,79,20,451300,8.7
336,29,4099,71,20,36100,1.9
337,44,9765,22,0,126800,8.3
338,24,3947,80,20,40500,0.6
339,49,12272,29,4,173200,2.8
340,29,3207,76,18,54700,2.7
341,30,2595,90,24,57300,1.2
342,24,3732,72,20,48000,0.9
343,38,10249,87,11,176500,7.3
344,56,4753,28,2,66200,6.2
345,63,4409,19,1,88400,0.1
346,27,2551,56,18,63000,2.4
347,38,11188,32,4,211000,9.7
348,31,3085,79,17,46900,1.6
349,40,10065,83,16,601600,9.6
350,46,8116,80,23,432800,8.2
351,26,3219,81,21,25700,2.2
352,26,3386,90,17,58100,2.9
353,57,5355,24,1,65600,1.8
354,35,11383,49,2,114800,9.2
355,23,3889,81,26,35300,1.9
356,39,2432,94,22,47000,0.2
357,43,13805,40,3,183500,9.0
358,48,13317,34,3,150500,3.4
359,57,11704,26,2,204900,2.5
360,55,4903,34,2,81600,8.8
361,20,2550,74,22,33000,3.9
362,40,10149,48,4,161000,1.9
363,37,10987,77,14,246200,8.4
364,29,9278,91,20,453200,9.1
365,56,3181,14,3,25900,5.6
366,28,2516,76,16,44000,1.0
367,48,8369,74,14,158800,6.0
368,64,4994,28,3,49400,3.8
369,53,12469,36,1,130000,4.7
370,30,2503,82,28,26600,3.9
371,34,9515,73,17,188000,3.2
372,52,4713,23,3,27900,7.0
373,28,2335,55,26,41600,3.3
374,52,13944,40,3,195200,1.6
375,50,6063,33,5,58000,10.4
376,22,2418,70,21,55100,0.1
377,52,4391,24,2,5000,5.1
378,36,11569,91,25,227400,7.4
379,66,6048,26,2,37100,11.9
380,28,3554,77,25,71500,3.5
381,29,2185,67,17,46100,3.1
382,23,2913,73,22,37600,3.9
383,56,14501,31,2,242600,6.6
384,56,5059,27,1,24400,3.6
385,27,3313,76,20,57800,0.7
386,36,7556,93,17,259500,5.7
387,63,4729,23,2,49500,8.7
388,36,13894,28,1,123800,5.0
389,60,5453,12,4,90000,6.0
390,56,5505,25,3,41600,3.6
391,50,10328,36,4,281100,6.9
392,50,14123,23,3,100700,6.1
393,39,11532,35,5,259300,3.2
394,64,3533,22,2,44200,3.0
395,33,14531,79,25,342400,8.0
396,26,3009,73,23,66800,1.1
397,49,12153,35,6,217000,3.8
398,24,4436,71,15,35700,3.0
399,63,5843,18,4,51200,8.6
400,58,3668,27,2,53200,4.7
401,28,2618,70,20,49900,0.9
402,51,13910,35,1,103700,3.2
403,41,8992,25,0,253100,6.6
404,29,3769,75,26,51900,1.6
405,46,14673,34,1,295600,6.5
406,50,4525,31,2,39800,3.2
407,25,3028,79,16,22700,3.0
408,30,9202,81,11,174600,11.5
409,40,10652,32,5,187400,2.2
410,24,3402,82,16,36100,1.9
411,33,8847,93,21,147800,4.2
412,63,5563,21,3,54100,0.4
413,33,3877,70,19,45200,1.7
414,38,12129,30,2,244400,8.9
415,36,3431,76,16,49700,2.0
416,23,3374,86,19,59600,3.1
417,69,5498,35,1,77600,3.9
418,53,5166,5,1,104200,2.6
419,42,8978,87,23,130900,9.8
420,52,5752,29,3,37900,2.6
421,55,4852,18,2,52200,10.3
422,37,8901,25,1,219800,8.9
423,65,4292,30,1,51900,7.3
424,51,10713,33,4,193500,5.4
425,20,2898,80,25,64100,0.6
426,23,3217,96,23,37600,1.0
427,51,12483,16,2,148800,8.2
428,42,8701,74,24,547600,7.4
429,25,2231,75,20,46800,1.0
430,33,12692,26,2,160700,8.2
431,33,2983,66,26,34200,2.4
432,53,3625,9,2,34900,1.2
433,48,10225,30,3,154500,6.5
434,42,11061,31,0,164400,4.0
435,27,3764,92,28,38400,2.4
436,47,13099,25,2,150000,4.3
437,59,5323,13,2,14600,3.0
438,65,3791,27,2,59600,9.6
439,40,11797,95,16,207100,7.8
440,30,3238,82,10,46200,3.0
441,41,9926,85,13,162100,4.2
442,43,10883,81,20,127900,9.2
443,70,5051,31,2,68400,7.3
444,30,2667,89,18,54300,1.6
445,64,4779,24,2,43200,1.0
446,64,5879,25,2,74500,9.6
447,41,14296,14,3,164400,3.6
448,36,11385,67,17,127900,11.9
449,29,3509,82,16,38700,2.3
450,31,2773,76,22,46500,3.9
451,43,11141,30,3,199000,7.5
452,27,9159,81,20,542200,6.2
453,32,3219,59,18,47800,2.6
454,46,12651,35,2,180500,8.2
455,34,9955,82,17,210000,11.1
456,41,11356,93,19,392400,7.5
457,24,2977,83,23,60500,3.8
458,42,15000,26,4,126100,5.7
459,42,10215,46,0,264400,3.4
460,44,5612,14,2,49900,2.7
461,45,12426,25,2,186700,8.8
462,21,9050,77,14,192200,4.8
463,70,3796,20,0,66200,10.7
464,40,8535,84,19,201400,5.2
465,23,3425,76,17,44500,1.8
466,46,11573,35,3,153400,6.5
467,40,9131,87,21,425000,11.7
468,58,4378,20,2,40300,6.3
469,55,4467,37,3,49800,1.0
